scale,chord_name,notes
Blues-Major,B♭-bls,B♭-C-D♭-D-F-G-B♭
Blues-Major,B-bls,B-C♯-D-D♯-F♯-G♯-B
Blues-Major,C-bls,C-D-E♭-E-G-A-C
Blues-Major,D♭-bls,D♭-E♭-F♭-F-A♭-B♭-D♭
Blues-Major,D-bls,D-E-F-F♯-A-B-D
Blues-Major,E♭-bls,E♭-F-G♭-G-B♭-C-E♭
Blues-Major,E-bls,E-F♯-G-G♯-B-C♯-E
Blues-Major,F-bls,F-G-A♭-A-C-D-F
Blues-Major,G♭-bls,F♯-G♯-A-A♯-C♯-D♯-F♯
Blues-Major,G-bls,G-A-B♭-B-D-E-G
Blues-Minor,a♭-bls,A♭-C♭-D♭-E♭♭-E♭-G♭-A♭
Blues-Minor,a-bls,A-C-D-E♭-E-G-A
Blues-Minor,b♭-bls,B♭-D♭-E♭-F♭-F-A♭-B♭
Blues-Minor,b-bls,B-D-E-F-F♯-A-B
Blues-Minor,c-bls,C-E♭-F-G♭-G-B♭-C
Blues-Minor,d♭-bls,C♯-E-F♯-G-G♯-B-C♯
Blues-Minor,d-bls,D-F-G-A♭-A-C-D
Blues-Minor,e♭-bls,E♭-G♭-A♭-B♭♭-B♭-D♭-E♭
Blues-Minor,e-bls,E-G-A-B♭-B-D-E
Blues-Minor,f-bls,F-A♭-B♭-C♭-C-E♭-F
Blues-Minor,g♭-bls,F♯-A-B-C-C♯-E-F♯
Blues-Minor,g-bls,G-B♭-C-D♭-D-F-G
Whole-Tone,A♭-wht,-
Whole-Tone,A-wht,-
Whole-Tone,B♭-wht,-
Whole-Tone,B-wht,-
Whole-Tone,C-wht,C-D-E-F♯-G♯-A♯-C
Whole-Tone,D♭-wht,-
Whole-Tone,D-wht,-
Whole-Tone,E♭-wht,-
Whole-Tone,E-wht,-
Whole-Tone,F-wht,-
Whole-Tone,G♭-wht,-
Whole-Tone,G-wht,-
Bebop-Major,C-bbp,C-D-E-F-G-G♯-A-B-C
Bebop-Dominant,C-bbpDom,C-D-E-F-G-A-B♭-B-C
Bebop-Dominant,D-bbpDom,D-E-F♯-G-A-B-C-C♯-D

